[2026-06-10T10:59:40.292Z] GET http://localhost:5173/api/clusters → 200 (18ms, 155B)
[2026-06-10T10:59:40.292Z] GET http://localhost:5173/api/dashboard/summary → 200 (24ms, 131B)
[2026-06-10T10:59:40.293Z] GET http://localhost:5173/api/dashboard/sw-status → 200 (26ms, 619B)
[2026-06-10T10:59:40.293Z] GET http://localhost:5173/api/dashboard/alerts → 200 (30ms, 554B)
[2026-06-10T10:59:40.293Z] GET http://localhost:5173/api/dashboard/docker → 200 (30ms, 384B)
[2026-06-10T10:59:40.323Z] GET http://localhost:5173/api/clusters/1/status → 200 (10ms, 704B)
[2026-06-10T10:59:40.323Z] GET http://localhost:5173/api/clusters/2/status → 200 (11ms, 559B)
[2026-06-10T10:59:40.324Z] GET http://localhost:5173/api/clusters/3/status → 200 (12ms, 695B)
[2026-06-10T10:59:45.287Z] GET http://localhost:5173/api/clusters → 200 (28ms, 155B)
[2026-06-10T10:59:45.287Z] GET http://localhost:5173/api/dashboard/summary → 200 (33ms, 131B)
[2026-06-10T10:59:45.287Z] GET http://localhost:5173/api/dashboard/sw-status → 200 (38ms, 619B)
[2026-06-10T10:59:45.287Z] GET http://localhost:5173/api/dashboard/alerts → 200 (41ms, 554B)
[2026-06-10T10:59:45.287Z] GET http://localhost:5173/api/dashboard/docker → 200 (50ms, 384B)
[2026-06-10T10:59:45.337Z] GET http://localhost:5173/api/clusters/1/status → 200 (12ms, 704B)
[2026-06-10T10:59:45.337Z] GET http://localhost:5173/api/clusters/2/status → 200 (18ms, 560B)
[2026-06-10T10:59:45.337Z] GET http://localhost:5173/api/clusters/3/status → 200 (23ms, 697B)
[2026-06-10T10:59:50.286Z] GET http://localhost:5173/api/clusters → 200 (15ms, 155B)
[2026-06-10T10:59:50.286Z] GET http://localhost:5173/api/dashboard/summary → 200 (25ms, 131B)
[2026-06-10T10:59:50.286Z] GET http://localhost:5173/api/dashboard/sw-status → 200 (28ms, 619B)
[2026-06-10T10:59:50.286Z] GET http://localhost:5173/api/dashboard/alerts → 200 (30ms, 554B)
[2026-06-10T10:59:50.287Z] GET http://localhost:5173/api/dashboard/docker → 200 (34ms, 384B)
[2026-06-10T10:59:50.322Z] GET http://localhost:5173/api/clusters/1/status → 200 (12ms, 705B)
[2026-06-10T10:59:50.322Z] GET http://localhost:5173/api/clusters/2/status → 200 (16ms, 561B)
[2026-06-10T10:59:50.322Z] GET http://localhost:5173/api/clusters/3/status → 200 (18ms, 697B)
[2026-06-10T10:59:55.299Z] GET http://localhost:5173/api/clusters → 200 (18ms, 155B)
[2026-06-10T10:59:55.299Z] GET http://localhost:5173/api/dashboard/summary → 200 (25ms, 131B)
[2026-06-10T10:59:55.299Z] GET http://localhost:5173/api/dashboard/sw-status → 200 (26ms, 619B)
[2026-06-10T10:59:55.299Z] GET http://localhost:5173/api/dashboard/alerts → 200 (29ms, 554B)
[2026-06-10T10:59:55.299Z] GET http://localhost:5173/api/dashboard/docker → 200 (33ms, 384B)
[2026-06-10T10:59:55.333Z] GET http://localhost:5173/api/clusters/1/status → 200 (10ms, 707B)
[2026-06-10T10:59:55.333Z] GET http://localhost:5173/api/clusters/2/status → 200 (16ms, 561B)
[2026-06-10T10:59:55.333Z] GET http://localhost:5173/api/clusters/3/status → 200 (20ms, 696B)
[2026-06-10T11:00:00.293Z] GET http://localhost:5173/api/clusters → 200 (11ms, 155B)
[2026-06-10T11:00:00.293Z] GET http://localhost:5173/api/dashboard/summary → 200 (14ms, 131B)
[2026-06-10T11:00:00.293Z] GET http://localhost:5173/api/dashboard/sw-status → 200 (16ms, 619B)
[2026-06-10T11:00:00.293Z] GET http://localhost:5173/api/dashboard/alerts → 200 (18ms, 554B)
[2026-06-10T11:00:00.294Z] GET http://localhost:5173/api/dashboard/docker → 200 (23ms, 384B)
[2026-06-10T11:00:00.317Z] GET http://localhost:5173/api/clusters/1/status → 200 (8ms, 707B)
[2026-06-10T11:00:00.317Z] GET http://localhost:5173/api/clusters/2/status → 200 (11ms, 561B)
[2026-06-10T11:00:00.317Z] GET http://localhost:5173/api/clusters/3/status → 200 (14ms, 696B)
[2026-06-10T11:00:05.287Z] GET http://localhost:5173/api/clusters → 200 (22ms, 155B)
[2026-06-10T11:00:05.287Z] GET http://localhost:5173/api/dashboard/summary → 200 (24ms, 131B)
[2026-06-10T11:00:05.288Z] GET http://localhost:5173/api/dashboard/sw-status → 200 (26ms, 619B)
[2026-06-10T11:00:05.288Z] GET http://localhost:5173/api/dashboard/alerts → 200 (29ms, 554B)
[2026-06-10T11:00:05.289Z] GET http://localhost:5173/api/dashboard/docker → 200 (36ms, 384B)
[2026-06-10T11:00:05.325Z] GET http://localhost:5173/api/clusters/1/status → 200 (13ms, 704B)
